Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nivel Educativo;Desempleada/o e inscrita/o como demandante de empleo en una ofic;Servicio demandado
mar-20;Hombre;Carabanchel;Entre 26 y 35 años;FP Grado Medio;Si;Intermediacion
mar-20;Mujer;Centro;Entre 36 y 45 años;FP Grado Superior;Si;Orientacion,Intermediacion
mar-20;Mujer;CiudadLineal;Entre 36 y 45 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
mar-20;Mujer;Chamartin;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
mar-20;Hombre;SanBlasCanillejas;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
mar-20;Mujer;;Entre 56 y 65 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion,Intermediacion
mar-20;Mujer;Salamanca;Entre 46 y 55 años;FP Grado Superior;No;Orientacion
mar-20;Mujer;PuenteVallecas;Entre 36 y 45 años;FP Grado Superior;No;Orientacion
mar-20;Mujer;CiudadLineal;Entre 46 y 55 años;FP Grado Medio;Si;Orientacion
mar-20;Hombre;Centro;Entre 46 y 55 años;Estudios Postgrado;Si;Orientacion,Intermediacion
mar-20;Hombre;Arganzuela;Entre 36 y 45 años;Sin Estudios;Si;Orientacion
mar-20;Mujer;Latina;Entre 36 y 45 años;Bachillerato;No;Orientacion
mar-20;Mujer;;Entre 46 y 55 años;FP Grado Superior;Si;Orientacion,Intermediacion
mar-20;Mujer;Centro;Entre 26 y 35 años;Bachillerato;Si;Orientacion
mar-20;Mujer;Centro;Entre 26 y 35 años;Bachillerato;Si;Orientacion
mar-20;Hombre;Tetuan;Entre 36 y 45 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion,Intermediacion,Autoempleo
mar-20;Mujer;Vicalvaro;Entre 26 y 35 años;Sin Estudios;Si;Orientacion
mar-20;Mujer;Centro;Entre 26 y 35 años;Estudios Postgrado;Si;Intermediacion
mar-20;Hombre;;Entre 36 y 45 años;Graduado Escolar;Si;Orientacion
mar-20;Mujer;;Entre 36 y 45 años;FP Grado Medio;No;Autoempleo
mar-20;Mujer;PuenteVallecas;Entre 36 y 45 años;Graduado Escolar;No;Orientacion,Intermediacion,Autoempleo
mar-20;Hombre;;Entre 56 y 65 años;FP Grado Medio;Si;Intermediacion
